Title,Author,No Rating,User Review
Mahabharata [Bhagavad Gita],Unknown,1.00,Example User2
Epic of Gilgamesh,Unknown,No Rating,No reviews
The Old Testament,Unknown,No Rating,No reviews
Iliad,Homer,No Rating,No reviews
Odyssey,Homer,No Rating,Example User
Histories,Herodotus,No Rating,No reviews
Plays,Sophocles,No Rating,No reviews
Plays,Aeschylus,No Rating,No reviews
Hippolytus,Euripides,No Rating,No reviews
Bacchae,Euripides,No Rating,No reviews
Electra,Euripides,No Rating,No reviews
The Phoenician Women,Euripides,No Rating,No reviews
The Peloponnesian War,Thucydides,No Rating,No reviews
Dialogues,Plato,No Rating,No reviews
Poetics,Aristotle,No Rating,No reviews
Physics,Aristotle,No Rating,No reviews
Ethics,Aristotle,No Rating,No reviews
De Anima,Aristotle,No Rating,No reviews
Greek Anthology,Unknown,No Rating,No reviews
On The Nature of Things,Lucretius,No Rating,No reviews
Parallel Lives,Plutarch,No Rating,No reviews
Aeneid,Virgil,No Rating,No reviews
Bucolics,Virgil,No Rating,No reviews
Georgics,Virgil,No Rating,No reviews
Annals,Tacitus,No Rating,No reviews
Metamorphoses,Ovid,No Rating,No reviews
Heroides,Ovid,No Rating,No reviews
Amores,Ovid,No Rating,No reviews
The New Testament,Unknown,No Rating,No reviews
The Twelve Caesars,Suetonius,No Rating,No reviews
Meditations,Marcus Aurelius,No Rating,No reviews
Poems,Catullus,No Rating,No reviews
Poems,Horace,No Rating,No reviews
Discourses,Epictetus,No Rating,No reviews
Plays,Aristophanes,No Rating,No reviews
Historical Miscellany,Aelianus,No Rating,No reviews
On the Nature of Animals,Aelianus,No Rating,No reviews
Argonautica,Apollonius Rhodius,No Rating,No reviews
Fourteen Byzantine Rulers,Michael Psellus,No Rating,No reviews
The Rise and Fall of the Roman Empire,Edward Gibbon,No Rating,No reviews
The Enneads,Plotinus,No Rating,No reviews
Ecclesiastical History,Eusebius,No Rating,No reviews
Consolations of Philosophy,Boethius,No Rating,No reviews
Letters,Pliny the Younger,No Rating,No reviews
Byzantine verse romances,Unknown,No Rating,No reviews
Fragments,Heraclitus,No Rating,No reviews
Confessions,St. Augustine,No Rating,No reviews
Summa Theologica,Thomas Aquinas,No Rating,No reviews
The Little Flowers,St. Francis of Assisi,No Rating,No reviews
The Prince,Niccolò Machiavelli,No Rating,No reviews
Divine Comedy,Dante Alighieri,No Rating,No reviews
Novelle,Franco Sacchetti,No Rating,No reviews
Icelandic sagas,Unknown,No Rating,No reviews
Anthony and Cleopatra,William Shakespeare,No Rating,No reviews
Hamlet,William Shakespeare,No Rating,No reviews
Macbeth,William Shakespeare,No Rating,No reviews
Henry V,William Shakespeare,No Rating,No reviews
Unknown,François Rabelais,No Rating,No reviews
Unknown,Francis Bacon,No Rating,No reviews
Selected Works,Martin Luther,No Rating,No reviews
Institutes of the Christian Religion,John Calvin,No Rating,No reviews
Essays,Michel de Montaigne,No Rating,No reviews
Don Quixote,Miguel de Cervantes,No Rating,No reviews
Discourses,René Descartes,No Rating,No reviews
Song of Roland,Unknown,No Rating,No reviews
Beowulf,Unknown,No Rating,No reviews
Unknown,Benvenuto Cellini,No Rating,No reviews
Education of Henry Adams,Henry Adams,No Rating,No reviews
The Leviathan,Thomas Hobbes,No Rating,No reviews
Thoughts,Blaise Pascal,No Rating,No reviews
Paradise Lost,John Milton,No Rating,No reviews
Unknown,John Donne,No Rating,No reviews
Unknown,Andrew Marvell,No Rating,No reviews
Unknown,George Herbert,No Rating,No reviews
Unknown,Richard Crashaw,No Rating,No reviews
Treatises,Baruch Spinoza,No Rating,No reviews
Charterhouse of Parma,Stendhal,No Rating,No reviews
The Red and the Black,Stendhal,No Rating,No reviews
The Life of Henry Brulard,Stendhal,No Rating,No reviews
Gulliver’s Travels,Jonathan Swift,No Rating,No reviews
Tristram Shandy,Laurence Sterne,No Rating,No reviews
Dangerous Liaisons,Choderlos de Laclos,No Rating,No reviews
Persian Letters,Baron de Montesquieu,No Rating,No reviews
Second Treatise on Government,John Locke,No Rating,No reviews
The Wealth of Nations,Adam Smith,No Rating,No reviews
Discourse on Metaphysics,Gottfried Leibniz,No Rating,No reviews
Everything,David Hume,No Rating,No reviews
The Federalist Papers,Unknown,No Rating,No reviews
Critique of Pure Reason,Immanuel Kant,No Rating,No reviews
Fear and Trembling,Søren Kierkegaard,No Rating,No reviews
Either/Or,Søren Kierkegaard,No Rating,No reviews
Philosophical Fragments,Søren Kierkegaard,No Rating,No reviews
Notes From the Underground,Fyodor Dostoevsky,No Rating,No reviews
The Possessed,Fyodor Dostoevsky,No Rating,No reviews
Democracy in America,Alexis de Tocqueville,No Rating,No reviews
Faust,Johann Wolfgang von Goethe,No Rating,No reviews
Italian Journey,Johann Wolfgang von Goethe,No Rating,No reviews
Empire of the Czar,Astolphe-Louis-Léonor,No Rating,No Rating,No reviews
Mimesis,Eric Auerbach,No Rating,No reviews
Conquest of Mexico,William H. Prescott,No Rating,No reviews
Labyrinths of Solitude,Octavio Paz,No Rating,No reviews
The Logic of Scientific Discovery,Sir Karl Popper,No Rating,No reviews
The Open Society and Its Enemies,Sir Karl Popper,No Rating,No reviews
Crowds and Power,Elias Canetti,No Rating,No reviews
